arabic,english,reference,category,origin
بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",Al-Faatiha 1:1,Theological (Aqeedah),Makki
ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَـٰلَمِینَ,"[All] praise is [due] to Allah, Lord of the worlds -",Al-Faatiha 1:2,Theological (Aqeedah),Makki
ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ,"The Entirely Merciful, the Especially Merciful,",Al-Faatiha 1:3,Theological (Aqeedah),Makki
مَـٰلِكِ یَوۡمِ ٱلدِّینِ,Sovereign of the Day of Recompense.,Al-Faatiha 1:4,Theological (Aqeedah),Makki
إِیَّاكَ نَعۡبُدُ وَإِیَّاكَ نَسۡتَعِینُ,It is You we worship and You we ask for help.,Al-Faatiha 1:5,Dua & Supplication,Makki
ٱهۡدِنَا ٱلصِّرَ ٰ⁠طَ ٱلۡمُسۡتَقِیمَ,Guide us to the straight path -,Al-Faatiha 1:6,Dua & Supplication,Makki
صِرَ ٰ⁠طَ ٱلَّذِینَ أَنۡعَمۡتَ عَلَیۡهِمۡ غَیۡرِ ٱلۡمَغۡضُوبِ عَلَیۡهِمۡ وَلَا ٱلضَّاۤلِّینَ,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",Al-Faatiha 1:7,Dua & Supplication,Makki
بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ الۤمۤ,"Alif, Lam, Meem.",Al-Baqara 2:1,Theological (Aqeedah),Madani
ذَ ٰ⁠لِكَ ٱلۡكِتَـٰبُ لَا رَیۡبَۛ فِیهِۛ هُدࣰى لِّلۡمُتَّقِینَ,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",Al-Baqara 2:2,Theological (Aqeedah),Madani
ٱلَّذِینَ یُؤۡمِنُونَ بِٱلۡغَیۡبِ وَیُقِیمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَـٰهُمۡ یُنفِقُونَ,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",Al-Baqara 2:3,Theological (Aqeedah),Madani
وَٱلَّذِینَ یُؤۡمِنُونَ بِمَاۤ أُنزِلَ إِلَیۡكَ وَمَاۤ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡـَٔاخِرَةِ هُمۡ یُوقِنُونَ,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",Al-Baqara 2:4,Theological (Aqeedah),Madani
أُو۟لَـٰۤىِٕكَ عَلَىٰ هُدࣰى مِّن رَّبِّهِمۡۖ وَأُو۟لَـٰۤىِٕكَ هُمُ ٱلۡمُفۡلِحُونَ,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",Al-Baqara 2:5,General,Madani
إِنَّ ٱلَّذِینَ كَفَرُوا۟ سَوَاۤءٌ عَلَیۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا یُؤۡمِنُونَ,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",Al-Baqara 2:6,General,Madani
خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰۤ أَبۡصَـٰرِهِمۡ غِشَـٰوَةࣱۖ وَلَهُمۡ عَذَابٌ عَظِیمࣱ,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.",Al-Baqara 2:7,General,Madani
وَمِنَ ٱلنَّاسِ مَن یَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡیَوۡمِ ٱلۡـَٔاخِرِ وَمَا هُم بِمُؤۡمِنِینَ,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.",Al-Baqara 2:8,Hypocrites (Munafiqun),Madani
یُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِینَ ءَامَنُوا۟ وَمَا یَخۡدَعُونَ إِلَّاۤ أَنفُسَهُمۡ وَمَا یَشۡعُرُونَ,"They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.",Al-Baqara 2:9,Hypocrites (Munafiqun),Madani
فِی قُلُوبِهِم مَّرَضࣱ فَزَادَهُمُ ٱللَّهُ مَرَضࣰاۖ وَلَهُمۡ عَذَابٌ أَلِیمُۢ بِمَا كَانُوا۟ یَكۡذِبُونَ,"In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie.",Al-Baqara 2:10,Hypocrites (Munafiqun),Madani
وَإِذَا قِیلَ لَهُمۡ لَا تُفۡسِدُوا۟ فِی ٱلۡأَرۡضِ قَالُوۤا۟ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,"And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are but reformers.""",Al-Baqara 2:11,Hypocrites (Munafiqun),Madani
أَلَاۤ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَـٰكِن لَّا یَشۡعُرُونَ,"Unquestionably, it is they who are the corrupters, but they perceive [it] not.",Al-Baqara 2:12,Hypocrites (Munafiqun),Madani
وَإِذَا قِیلَ لَهُمۡ ءَامِنُوا۟ كَمَاۤ ءَامَنَ ٱلنَّاسُ قَالُوۤا۟ أَنُؤۡمِنُ كَمَاۤ ءَامَنَ ٱلسُّفَهَاۤءُۗ أَلَاۤ إِنَّهُمۡ هُمُ ٱلسُّفَهَاۤءُ وَلَـٰكِن لَّا یَعۡلَمُونَ,"And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not.",Al-Baqara 2:13,Hypocrites (Munafiqun),Madani
وَإِذَا لَقُوا۟ ٱلَّذِینَ ءَامَنُوا۟ قَالُوۤا۟ ءَامَنَّا وَإِذَا خَلَوۡا۟ إِلَىٰ شَیَـٰطِینِهِمۡ قَالُوۤا۟ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ,"And when they meet those who believe, they say, ""We believe""; but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mockers.""",Al-Baqara 2:14,Hypocrites (Munafiqun),Madani
ٱللَّهُ یَسۡتَهۡزِئُ بِهِمۡ وَیَمُدُّهُمۡ فِی طُغۡیَـٰنِهِمۡ یَعۡمَهُونَ,[But] Allah mocks them and prolongs them in their transgression [while] they wander blindly.,Al-Baqara 2:15,Hypocrites (Munafiqun),Madani
أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ ٱشۡتَرَوُا۟ ٱلضَّلَـٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَـٰرَتُهُمۡ وَمَا كَانُوا۟ مُهۡتَدِینَ,"Those are the ones who have purchased error [in exchange] for guidance, so their transaction has brought no profit, nor were they guided.",Al-Baqara 2:16,Hypocrites (Munafiqun),Madani
مَثَلُهُمۡ كَمَثَلِ ٱلَّذِی ٱسۡتَوۡقَدَ نَارࣰا فَلَمَّاۤ أَضَاۤءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِی ظُلُمَـٰتࣲ لَّا یُبۡصِرُونَ,"Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see.",Al-Baqara 2:17,Hypocrites (Munafiqun),Madani
صُمُّۢ بُكۡمٌ عُمۡیࣱ فَهُمۡ لَا یَرۡجِعُونَ,"Deaf, dumb and blind - so they will not return [to the right path].",Al-Baqara 2:18,Hypocrites (Munafiqun),Madani
أَوۡ كَصَیِّبࣲ مِّنَ ٱلسَّمَاۤءِ فِیهِ ظُلُمَـٰتࣱ وَرَعۡدࣱ وَبَرۡقࣱ یَجۡعَلُونَ أَصَـٰبِعَهُمۡ فِیۤ ءَاذَانِهِم مِّنَ ٱلصَّوَ ٰ⁠عِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِیطُۢ بِٱلۡكَـٰفِرِینَ,"Or [it is] like a rainstorm from the sky within which is darkness, thunder and lightning. They put their fingers in their ears against the thunderclaps in dread of death. But Allah is encompassing of the disbelievers.",Al-Baqara 2:19,Hypocrites (Munafiqun),Madani
یَكَادُ ٱلۡبَرۡقُ یَخۡطَفُ أَبۡصَـٰرَهُمۡۖ كُلَّمَاۤ أَضَاۤءَ لَهُم مَّشَوۡا۟ فِیهِ وَإِذَاۤ أَظۡلَمَ عَلَیۡهِمۡ قَامُوا۟ۚ وَلَوۡ شَاۤءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَـٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَیۡءࣲ قَدِیرࣱ,"The lightning almost snatches away their sight. Every time it lights [the way] for them, they walk therein; but when darkness comes over them, they stand [still]. And if Allah had willed, He could have taken away their hearing and their sight. Indeed, Allah is over all things competent.",Al-Baqara 2:20,Hypocrites (Munafiqun),Madani
یَـٰۤأَیُّهَا ٱلنَّاسُ ٱعۡبُدُوا۟ رَبَّكُمُ ٱلَّذِی خَلَقَكُمۡ وَٱلَّذِینَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ,"O mankind, worship your Lord, who created you and those before you, that you may become righteous -",Al-Baqara 2:21,Fear of Allah (Taqwa),Madani
ٱلَّذِی جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرَ ٰ⁠شࣰا وَٱلسَّمَاۤءَ بِنَاۤءࣰ وَأَنزَلَ مِنَ ٱلسَّمَاۤءِ مَاۤءࣰ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَ ٰ⁠تِ رِزۡقࣰا لَّكُمۡۖ فَلَا تَجۡعَلُوا۟ لِلَّهِ أَندَادࣰا وَأَنتُمۡ تَعۡلَمُونَ,"[He] who made for you the earth a bed [spread out] and the sky a ceiling and sent down from the sky, rain and brought forth thereby fruits as provision for you. So do not attribute to Allah equals while you know [that there is nothing similar to Him].",Al-Baqara 2:22,General,Madani
وَإِن كُنتُمۡ فِی رَیۡبࣲ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُوا۟ بِسُورَةࣲ مِّن مِّثۡلِهِۦ وَٱدۡعُوا۟ شُهَدَاۤءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَـٰدِقِینَ,"And if you are in doubt about what We have sent down upon Our Servant [Muhammad], then produce a surah the like thereof and call upon your witnesses other than Allah, if you should be truthful.",Al-Baqara 2:23,General,Madani
فَإِن لَّمۡ تَفۡعَلُوا۟ وَلَن تَفۡعَلُوا۟ فَٱتَّقُوا۟ ٱلنَّارَ ٱلَّتِی وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُۖ أُعِدَّتۡ لِلۡكَـٰفِرِینَ,"But if you do not - and you will never be able to - then fear the Fire, whose fuel is men and stones, prepared for the disbelievers.",Al-Baqara 2:24,Warning & Admonition,Madani
